timestamp,date,time,portfolio_value,cash,positions,pnl,daily_pnl
20221101 10:44:59,20221101,10:44:59,499870.98458055995,499078.03458055994,NIFTY22110318200CE:1; NIFTY22110318200PE:1; BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1,-129.01541944005294,-129.01541944005294
20221101 10:45:59,20221101,10:45:59,499868.3345805599,499078.03458055994,NIFTY22110318200CE:1; NIFTY22110318200PE:1; BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1,-131.66541944007622,-131.66541944007622
20221101 10:46:59,20221101,10:46:59,499869.23458055995,499078.03458055994,NIFTY22110318200CE:1; NIFTY22110318200PE:1; BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1,-130.76541944005294,-130.76541944005294
20221101 10:47:59,20221101,10:47:59,499862.48458055995,499078.03458055994,NIFTY22110318200CE:1; NIFTY22110318200PE:1; BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1,-137.51541944005294,-137.51541944005294
20221101 10:48:59,20221101,10:48:59,499864.3345805599,499078.03458055994,NIFTY22110318200CE:1; NIFTY22110318200PE:1; BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1,-135.66541944007622,-135.66541944007622
20221101 10:49:59,20221101,10:49:59,499866.53458055994,499078.03458055994,NIFTY22110318200CE:1; NIFTY22110318200PE:1; BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1,-133.46541944006458,-133.46541944006458
20221101 10:50:59,20221101,10:50:59,499868.98458055995,499078.03458055994,NIFTY22110318200CE:1; NIFTY22110318200PE:1; BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1,-131.01541944005294,-131.01541944005294
20221101 10:51:59,20221101,10:51:59,499869.78458055994,499078.03458055994,NIFTY22110318200CE:1; NIFTY22110318200PE:1; BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1,-130.21541944006458,-130.21541944006458
20221101 10:52:59,20221101,10:52:59,499868.3845805599,499078.03458055994,NIFTY22110318200CE:1; NIFTY22110318200PE:1; BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1,-131.61541944008786,-131.61541944008786
20221101 10:53:59,20221101,10:53:59,499867.43458055996,499078.03458055994,NIFTY22110318200CE:1; NIFTY22110318200PE:1; BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1,-132.5654194400413,-132.5654194400413
20221101 10:54:59,20221101,10:54:59,499868.5845805599,499078.03458055994,NIFTY22110318200CE:1; NIFTY22110318200PE:1; BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1,-131.41541944007622,-131.41541944007622
20221101 10:55:59,20221101,10:55:59,499867.5845805599,499078.03458055994,NIFTY22110318200CE:1; NIFTY22110318200PE:1; BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1,-132.41541944007622,-132.41541944007622
20221101 10:56:59,20221101,10:56:59,499867.03458055994,499078.03458055994,NIFTY22110318200CE:1; NIFTY22110318200PE:1; BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1,-132.96541944006458,-132.96541944006458
20221101 10:57:59,20221101,10:57:59,499865.6345805599,499078.03458055994,NIFTY22110318200CE:1; NIFTY22110318200PE:1; BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1,-134.36541944008786,-134.36541944008786
20221101 10:58:59,20221101,10:58:59,499868.68458055996,499078.03458055994,NIFTY22110318200CE:1; NIFTY22110318200PE:1; BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1,-131.3154194400413,-131.3154194400413
20221101 10:59:59,20221101,10:59:59,499866.98458055995,499078.03458055994,NIFTY22110318200CE:1; NIFTY22110318200PE:1; BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1,-133.01541944005294,-133.01541944005294
